name,p1/p3,p4,cct
sub_create,101316825,23127066,16565297
card_total,103914859,25208188,18704820
H,4.35,6.26,378.01
A,6.58,4.25
R,10.91,225.70
bj_sub_create,883,9162
utc_sub_create_m,877,9113,109
utc_sub_del_m,195,65,1
utc_sub_create_a,479,5149,0
utc_sub_del_a,121,43,0
asa,17081
Date,20190619
