name,p1/p3,p4,cct
sub_create,101310728,23057470,16564978
card_total,103914859,25208188,18704820
H,5.20,6.55,4.66
A,9.43,4.06
R,343.18,230.90
bj_sub_create,834,8575
utc_sub_create_m,836,8583,3
utc_sub_del_m,207,97,0
utc_sub_create_a,623,6186,0
utc_sub_del_a,119,60,0
asa,15608
Date,20190611
